id,mssv,listening,reading,total,mamh,ghichu
1.0,DA75FFFEXPvAibaEXe8808q51BnmQhHT8REwWMQJ, NULL, NULL,15.0, NULL, NULL
2.0,336B9F53XPvAibaEXe/jd8ghaf1GTNPSHNuhAHTZ, NULL, NULL,15.0, NULL, NULL
3.0,67A51DC3XPvAibaEXe/7YVAxOsMwOtCFvKInEQ0e, NULL, NULL,16.0, NULL, NULL
4.0,387E2EFEXPvAibaEXe96K1aB3B4cKSj8mKKciukN, NULL, NULL,16.0, NULL, NULL
6.0,13D900A2XPvAibaEXe97wmuqTYuV7bJOKimbzKxM, NULL, NULL,18.0, NULL, NULL
7.0,AD5DDB61XPvAibaEXe97wmuqTYuV7bFPojsU1F+x, NULL, NULL,18.0, NULL, NULL
8.0,EBC55C2BXPvAibaEXe/7YVAxOsMwOk0EasYVdFSG, NULL, NULL,18.0, NULL, NULL
9.0,31656E5EXPvAibaEXe9N+b7C2VGPszP5c8rfamtp, NULL, NULL,18.0, NULL, NULL
10.0,CBB55F72XPvAibaEXe9Hp2TeoSwCGX/R/AU50aAF, NULL, NULL,19.0, NULL, NULL
11.0,40D2257DXPvAibaEXe9Hp2TeoSwCGTMp/uHWnnOo, NULL, NULL,19.0, NULL, NULL
13.0,CB6377B6XPvAibaEXe8808q51BnmQgFXOVlspk8F, NULL, NULL,20.0, NULL, NULL
14.0,1C5409B8XPvAibaEXe+/1KYXP+fweAeOyBmRMHFS, NULL, NULL,20.0, NULL, NULL
15.0,09DAA20BXPvAibaEXe8cJKtXZaLmvUsH6H9yaOrj, NULL, NULL,20.0, NULL, NULL
16.0,D3C8FCBFXPvAibaEXe9uaaZ/YedHVE2vFI3CwdF0, NULL, NULL,20.0, NULL, NULL
19.0,E16A784CXPvAibaEXe96K1aB3B4cKVqj15x8J3Fa, NULL, NULL,22.0, NULL, NULL
20.0,D9987866XPvAibaEXe+5AEinM7he3nNXvaIkjIqo, NULL, NULL,22.0, NULL, NULL
21.0,DE53507FXPvAibaEXe+fEAEfw3o+Ko6TvTSgijy3, NULL, NULL,22.0, NULL, NULL
22.0,158FB8C2XPvAibaEXe+x/3KKGWxYH2pEsBjyxoBO, NULL, NULL,22.0, NULL, NULL
23.0,6D8F53BDXPvAibaEXe8cJKtXZaLmvZGbeRUvU9Ym, NULL, NULL,22.0, NULL, NULL
24.0,D40A5224XPvAibaEXe/sW+jVmHnQGrpyj9mM/5XW, NULL, NULL,22.0, NULL, NULL
25.0,751C5CD8XPvAibaEXe8OoiZ7Qg2eT/MgIge5XLta, NULL, NULL,23.0, NULL, NULL
26.0,E1E49AA0XPvAibaEXe9uaaZ/YedHVPiewa5uM8QS, NULL, NULL,23.0, NULL, NULL
27.0,1B5C151DXPvAibaEXe9CFhTkHod3yUw8wiccXxfg, NULL, NULL,23.0, NULL, NULL
28.0,EE124006XPvAibaEXe+x/3KKGWxYH5eE8fYkddOq, NULL, NULL,23.0, NULL, NULL
29.0,BE04727AXPvAibaEXe8OoiZ7Qg2eT9tClu4Cs32M, NULL, NULL,23.0, NULL, NULL
30.0,4E3B2E64XPvAibaEXe93t/fGOsRpn05lMH4zm7Cp, NULL, NULL,23.0, NULL, NULL
31.0,0A29A66BXPvAibaEXe9CFhTkHod3yS4qPQKSYcEO, NULL, NULL,23.0, NULL, NULL
33.0,49ABC5EFXPvAibaEXe8eWl5Nr7OWQt3VotR9dXYx, NULL, NULL,23.0, NULL, NULL
34.0,789C02AAXPvAibaEXe+/1KYXP+fweK/y54Tvf704, NULL, NULL,24.0, NULL, NULL
35.0,A111A056XPvAibaEXe88G96lR9q/HbP6O5OR4CqK, NULL, NULL,24.0, NULL, NULL
36.0,6BDC0FB3XPvAibaEXe+5AEinM7he3oT9mkidxPDW, NULL, NULL,24.0, NULL, NULL
37.0,C805294BXPvAibaEXe8cJKtXZaLmvXmkH+PgfnFb, NULL, NULL,24.0, NULL, NULL
38.0,8474C347XPvAibaEXe+/1KYXP+fweAETvLS68nEF, NULL, NULL,24.0, NULL, NULL
39.0,E0C52A16XPvAibaEXe904Wq1lYkfi/ntiwVmPGZr, NULL, NULL,25.0, NULL, NULL
40.0,8A73C0A4XPvAibaEXe9uaaZ/YedHVG4ke7HP5CVh, NULL, NULL,25.0, NULL, NULL
41.0,E679EB47XPvAibaEXe+eIy6TmCsZuwhDZyQzJ/il, NULL, NULL,25.0, NULL, NULL
42.0,ACC6BE03XPvAibaEXe/7jEMhYBA6GZiEn3v4da33, NULL, NULL,25.0, NULL, NULL
43.0,7BAE4D59XPvAibaEXe/04IiIK7okBc/e3nqwl6Yl, NULL, NULL,25.0, NULL, NULL
44.0,E7959B13XPvAibaEXe93t/fGOsRpn/6DkGbVhKDL, NULL, NULL,25.0, NULL, NULL
45.0,CF820E88XPvAibaEXe88G96lR9q/HWQHdno6Q1dE, NULL, NULL,25.0, NULL, NULL
46.0,B3BB25C7XPvAibaEXe8E8MfopOpLfow3YpFUxKb9, NULL, NULL,25.0, NULL, NULL
47.0,F4F90434XPvAibaEXe/04IiIK7okBT/n8bF22cJ4, NULL, NULL,25.0, NULL, NULL
48.0,27A62100XPvAibaEXe+/1KYXP+fweJyZsRuyxmIg, NULL, NULL,25.0, NULL, NULL
49.0,63276F86XPvAibaEXe9Hp2TeoSwCGTQ0JelgLNZH, NULL, NULL,25.0, NULL, NULL
50.0,3A14E413XPvAibaEXe9uaaZ/YedHVADddd6jtCYd, NULL, NULL,26.0, NULL, NULL
51.0,19E0EE8FXPvAibaEXe97wmuqTYuV7djoRDmkvxKL, NULL, NULL,26.0, NULL, NULL
52.0,59F24D89XPvAibaEXe+MMervxP1vAFgzvQQfMwEA, NULL, NULL,26.0, NULL, NULL
53.0,E747458DXPvAibaEXe96K1aB3B4cKQggKDkChiCr, NULL, NULL,26.0, NULL, NULL
54.0,1E458D16XPvAibaEXe92C4qaj9kvH6/S4CNEqhXl, NULL, NULL,26.0, NULL, NULL
55.0,8EDF0CBCXPvAibaEXe+eIy6TmCsZu0mu7wa7hWrc, NULL, NULL,26.0, NULL, NULL
56.0,C1C2D49CXPvAibaEXe+5AEinM7he3lYo4Yh3wzso, NULL, NULL,26.0, NULL, NULL
