id,mssv,listening,reading,total,mamh,ghichu
3420.0,4784C672XPvAibaEXe9Tdz4CswjA16eg3cXIH7xa,47,69,630.0, ENG05, Qui đổi TOEIC
3421.0,280F7F2EXPvAibaEXe/TOGeH6x1BlQUztAN4ABTM,45,68,610.0, Miễn ENG03, Qui đổi TOEIC
3422.0,3A16B235XPvAibaEXe8NM1/5chXJmoMJkfAtL/mC,46,67,610.0, Miễn ENG03, Qui đổi TOEIC
3423.0,0F92557CXPvAibaEXe9176253k6Mv7DsmZGZMkgF,45,67,605.0, Miễn ENG03, Qui đổi TOEIC
3424.0,C6BEEDEBXPvAibaEXe/Hd2nFsMs4VJMEohtoTdvd,44,68,605.0, Miễn ENG03, Qui đổi TOEIC
3425.0,DAAA4CCBXPvAibaEXe+boSxJoV2lkBv6tVx0spbM,46,65,600.0, ENG05, Qui đổi TOEIC
3426.0,2A67FC28XPvAibaEXe8Z5hiNBvM0RQ+3kAQPph7F,44,66,595.0, ENG05, Qui đổi TOEIC
3427.0,FFDC81D5XPvAibaEXe9/w7qCPr4fx1roEzeCxcg8,45,64,590.0, Miễn ENG03, Qui đổi TOEIC
3428.0,8784973BXPvAibaEXe/Jc8h2JxO5QWDOcxh8OWeR,45,63,585.0, Miễn ENG03, Qui đổi TOEIC
3429.0,3DF60F05XPvAibaEXe/9LBBkdbcCWKovwcgQ4mjo,44,64,585.0, ENG05, Qui đổi TOEIC
3430.0,47929769XPvAibaEXe9/w7qCPr4fx5ZSKwER9cBP,45,63,585.0, Miễn ENG03, Qui đổi TOEIC
3431.0,C7F53D34XPvAibaEXe9urngX21O5XQ0Q58KKpN+g,46,61,580.0, ENG05, Qui đổi TOEIC
3432.0,8934FB8DXPvAibaEXe8NShKJ2y7VAgoUnB3rzeR5,44,63,580.0, ENG05, Qui đổi TOEIC
3433.0,481A6067XPvAibaEXe+GGliW+AfAjEt6VXIhoDP6,40,66,575.0, Miễn ENG03, Qui đổi TOEIC
3434.0,9838A646XPvAibaEXe/Jc8h2JxO5QbKDfW+35ySv,43,63,575.0, Miễn ENG03, Qui đổi TOEIC
3435.0,E9881298XPvAibaEXe/B5ptYzPZ33uxP//3lZ8YC,43,63,575.0, Miễn ENG03, Qui đổi TOEIC
3436.0,34B681A8XPvAibaEXe9UjnPPEYi4UV+h8DUMpX32,43,62,570.0, ENG05, Qui đổi TOEIC
